night_date,n_plateaus,max_depth,base_level,top_level,total_range,dur_cv,count_cv,break_frac,spacing_cv,stack_symmetry,intra_dur_cv,frac_high,frac_vhigh,n_d1,n_d2,n_d3,n_phases,mean_phase_dur,phase_dur_cv,mean_phase_std,std_ratio_2nd_1st,dur_ratio_2nd_1st,n_nadirs,nadir_mean,nadir_std,nadir_range,nadir_slope
2026-03-28,11,5,54.7,71.5,16.8,0.603,0.638,0.273,0.61,0.208,0.6,1.804,1.006,10,9,7,13,25.2,0.507,4.38,1.137,1.699,12,64.2,4.88,16.8,-0.817
2026-03-29,14,5,50.8,65.6,14.8,0.616,0.443,0.714,0.922,0.234,0.716,1.738,0.995,13,11,8,19,21.1,0.394,4.41,1.141,1.274,18,59.9,3.77,14.8,-0.426
2026-03-30,12,6,51.5,70.3,18.8,0.697,0.441,0.667,0.726,0.398,0.898,1.685,1.479,11,9,6,23,16.7,0.384,3.61,0.964,0.931,22,60.7,6.14,19.6,-0.837
2026-03-31,11,4,58.0,73.8,15.8,0.648,0.38,0.455,0.599,0.325,0.626,1.024,0.677,10,7,4,23,23.2,0.651,4.33,0.844,0.748,22,65.6,6.17,17.0,-0.292
2026-04-01,9,3,52.6,65.6,13.0,0.668,0.667,0.444,0.781,0.388,0.701,0.634,0.165,8,4,1,19,17.9,0.411,4.38,0.547,0.955,18,57.3,3.81,13.0,0.118
2026-04-02,13,4,57.3,71.4,14.1,0.594,0.439,0.538,1.201,0.31,0.661,0.732,0.143,12,9,5,23,17.4,0.462,3.84,0.777,0.855,22,62.7,3.19,14.1,-0.27
2026-04-03,12,4,57.5,71.6,14.1,0.494,0.228,0.583,0.594,0.547,0.794,1.102,0.48,10,7,4,18,22.3,0.396,3.91,0.929,0.874,17,63.5,4.21,14.1,-0.476
2026-04-04,10,5,60.7,74.5,13.8,0.694,0.49,0.6,0.578,0.38,0.683,1.448,0.693,9,7,4,19,19.1,0.356,3.39,1.188,1.307,18,68.0,4.25,13.8,-0.647
2026-04-05,10,4,55.8,67.3,11.5,0.622,0.5,0.5,0.315,0.265,0.753,0.991,0.492,9,7,4,20,21.3,0.466,4.14,1.075,0.821,19,63.0,4.27,12.8,-0.488
2026-04-06,12,5,56.3,71.3,15.0,0.655,0.447,0.583,0.727,0.278,0.836,1.562,0.656,11,8,6,24,18.8,0.469,4.04,1.363,1.361,23,64.3,4.62,16.0,-0.603
2026-04-07,12,6,56.6,72.3,15.7,0.669,0.555,0.583,0.49,0.414,0.936,1.818,1.138,11,8,5,21,20.4,0.52,3.75,1.025,0.864,20,64.2,4.83,15.7,-0.679
2026-04-08,20,8,63.0,84.9,21.9,0.751,0.667,0.55,0.771,0.248,0.923,2.903,1.588,19,17,16,30,23.7,0.44,3.95,0.836,1.132,29,76.3,5.75,21.9,-0.313
2026-04-09,12,3,60.9,71.8,10.9,0.514,0.471,0.75,1.061,0.303,1.118,0.933,0.268,11,7,3,23,18.3,0.353,3.6,1.063,1.141,22,67.1,3.21,10.9,-0.298
2026-04-10,9,4,60.8,76.0,15.2,0.628,0.465,0.778,0.736,0.351,1.147,1.181,0.458,8,5,3,23,17.8,0.574,3.35,1.225,0.772,22,68.3,4.71,15.2,-0.618
