freq_hz,period_s,power_ms2hz,tier
4.29649562e-05,2.3275e+04,1.931549e+08,circadian
4.30894869e-05,2.3208e+04,1.945142e+08,circadian
4.32140175e-05,2.3141e+04,1.959881e+08,circadian
4.33385482e-05,2.3074e+04,1.975680e+08,circadian
4.34630788e-05,2.3008e+04,1.992434e+08,circadian
4.35876095e-05,2.2942e+04,2.010019e+08,circadian
4.37121402e-05,2.2877e+04,2.028295e+08,circadian
4.38366708e-05,2.2812e+04,2.047105e+08,circadian
4.39612015e-05,2.2747e+04,2.066277e+08,circadian
4.40857322e-05,2.2683e+04,2.085626e+08,circadian
4.42102628e-05,2.2619e+04,2.104958e+08,circadian
4.43347935e-05,2.2556e+04,2.124068e+08,circadian
4.44593242e-05,2.2492e+04,2.142747e+08,circadian
4.45838548e-05,2.2430e+04,2.160783e+08,circadian
4.47083855e-05,2.2367e+04,2.177960e+08,circadian
4.48329161e-05,2.2305e+04,2.194066e+08,circadian
4.49574468e-05,2.2243e+04,2.208893e+08,circadian
4.50819775e-05,2.2182e+04,2.222237e+08,circadian
4.52065081e-05,2.2121e+04,2.233905e+08,circadian
4.53310388e-05,2.2060e+04,2.243714e+08,circadian
4.54555695e-05,2.2000e+04,2.251493e+08,circadian
4.55801001e-05,2.1939e+04,2.257088e+08,circadian
4.57046308e-05,2.1880e+04,2.260360e+08,circadian
4.58291615e-05,2.1820e+04,2.261187e+08,circadian
4.59536921e-05,2.1761e+04,2.259466e+08,circadian
4.60782228e-05,2.1702e+04,2.255116e+08,circadian
4.62027534e-05,2.1644e+04,2.248073e+08,circadian
4.63272841e-05,2.1586e+04,2.238295e+08,circadian
4.64518148e-05,2.1528e+04,2.225761e+08,circadian
4.65763454e-05,2.1470e+04,2.210469e+08,circadian
4.67008761e-05,2.1413e+04,2.192437e+08,circadian
4.68254068e-05,2.1356e+04,2.171704e+08,circadian
4.69499374e-05,2.1299e+04,2.148323e+08,circadian
4.70744681e-05,2.1243e+04,2.122367e+08,circadian
4.71989987e-05,2.1187e+04,2.093924e+08,circadian
