ts,STAGE,datetime,stage_label,datetime_local
1733795520,2,2024-12-10 01:52:00,REM,2024-12-10 02:52
1733796000,4,2024-12-10 02:00:00,Deep,2024-12-10 03:00
1733796360,3,2024-12-10 02:06:00,Light,2024-12-10 03:06
1733796540,3,2024-12-10 02:09:00,Light,2024-12-10 03:09
1733797380,2,2024-12-10 02:23:00,REM,2024-12-10 03:23
1733797620,2,2024-12-10 02:27:00,REM,2024-12-10 03:27
1733798280,4,2024-12-10 02:38:00,Deep,2024-12-10 03:38
1733798700,3,2024-12-10 02:45:00,Light,2024-12-10 03:45
1733798940,3,2024-12-10 02:49:00,Light,2024-12-10 03:49
1733799060,2,2024-12-10 02:51:00,REM,2024-12-10 03:51
1733799240,3,2024-12-10 02:54:00,Light,2024-12-10 03:54
1733799540,5,2024-12-10 02:59:00,Awake,2024-12-10 03:59
1733801880,2,2024-12-10 03:38:00,REM,2024-12-10 04:38
1733803500,4,2024-12-10 04:05:00,Deep,2024-12-10 05:05
1733804040,3,2024-12-10 04:14:00,Light,2024-12-10 05:14
1733804640,4,2024-12-10 04:24:00,Deep,2024-12-10 05:24
1733805120,2,2024-12-10 04:32:00,REM,2024-12-10 05:32
1733806260,3,2024-12-10 04:51:00,Light,2024-12-10 05:51
1733806740,4,2024-12-10 04:59:00,Deep,2024-12-10 05:59
1733807040,2,2024-12-10 05:04:00,REM,2024-12-10 06:04
1733807340,3,2024-12-10 05:09:00,Light,2024-12-10 06:09
1733807880,2,2024-12-10 05:18:00,REM,2024-12-10 06:18
1733808120,4,2024-12-10 05:22:00,Deep,2024-12-10 06:22
1733808480,3,2024-12-10 05:28:00,Light,2024-12-10 06:28
1733869020,3,2024-12-10 22:17:00,Light,2024-12-10 23:17
1733870100,2,2024-12-10 22:35:00,REM,2024-12-10 23:35
1733871180,3,2024-12-10 22:53:00,Light,2024-12-10 23:53
1733871480,4,2024-12-10 22:58:00,Deep,2024-12-10 23:58
1733871840,2,2024-12-10 23:04:00,REM,2024-12-11 00:04
1733873400,3,2024-12-10 23:30:00,Light,2024-12-11 00:30
1733874120,4,2024-12-10 23:42:00,Deep,2024-12-11 00:42
1733875020,2,2024-12-10 23:57:00,REM,2024-12-11 00:57
1733875320,3,2024-12-11 00:02:00,Light,2024-12-11 01:02
1733875860,4,2024-12-11 00:11:00,Deep,2024-12-11 01:11
1733877060,3,2024-12-11 00:31:00,Light,2024-12-11 01:31
1733877600,2,2024-12-11 00:40:00,REM,2024-12-11 01:40
1733878260,3,2024-12-11 00:51:00,Light,2024-12-11 01:51
1733879040,4,2024-12-11 01:04:00,Deep,2024-12-11 02:04
1733879460,3,2024-12-11 01:11:00,Light,2024-12-11 02:11
1733880420,2,2024-12-11 01:27:00,REM,2024-12-11 02:27
1733881140,4,2024-12-11 01:39:00,Deep,2024-12-11 02:39
1733882160,3,2024-12-11 01:56:00,Light,2024-12-11 02:56
1733884440,4,2024-12-11 02:34:00,Deep,2024-12-11 03:34
1733884980,2,2024-12-11 02:43:00,REM,2024-12-11 03:43
1733887320,3,2024-12-11 03:22:00,Light,2024-12-11 04:22
1733888760,4,2024-12-11 03:46:00,Deep,2024-12-11 04:46
1733890560,2,2024-12-11 04:16:00,REM,2024-12-11 05:16
1733891880,3,2024-12-11 04:38:00,Light,2024-12-11 05:38
1733892420,4,2024-12-11 04:47:00,Deep,2024-12-11 05:47
1733893080,3,2024-12-11 04:58:00,Light,2024-12-11 05:58
1733893860,2,2024-12-11 05:11:00,REM,2024-12-11 06:11
1733894160,4,2024-12-11 05:16:00,Deep,2024-12-11 06:16
1733894760,3,2024-12-11 05:26:00,Light,2024-12-11 06:26
1733959800,3,2024-12-11 23:30:00,Light,2024-12-12 00:30
1733962560,4,2024-12-12 00:16:00,Deep,2024-12-12 01:16
1733963520,2,2024-12-12 00:32:00,REM,2024-12-12 01:32
1733965080,3,2024-12-12 00:58:00,Light,2024-12-12 01:58
1733965800,4,2024-12-12 01:10:00,Deep,2024-12-12 02:10
1733966100,2,2024-12-12 01:15:00,REM,2024-12-12 02:15
1733966400,3,2024-12-12 01:20:00,Light,2024-12-12 02:20
1733968200,4,2024-12-12 01:50:00,Deep,2024-12-12 02:50
1733969760,2,2024-12-12 02:16:00,REM,2024-12-12 03:16
1733970840,3,2024-12-12 02:34:00,Light,2024-12-12 03:34
1733972700,4,2024-12-12 03:05:00,Deep,2024-12-12 04:05
1733973120,3,2024-12-12 03:12:00,Light,2024-12-12 04:12
1733973420,4,2024-12-12 03:17:00,Deep,2024-12-12 04:17
1733973720,3,2024-12-12 03:22:00,Light,2024-12-12 04:22
1733974020,2,2024-12-12 03:27:00,REM,2024-12-12 04:27
1733975700,3,2024-12-12 03:55:00,Light,2024-12-12 04:55
1733976240,4,2024-12-12 04:04:00,Deep,2024-12-12 05:04
1733976720,2,2024-12-12 04:12:00,REM,2024-12-12 05:12
1733977740,3,2024-12-12 04:29:00,Light,2024-12-12 05:29
1733978700,4,2024-12-12 04:45:00,Deep,2024-12-12 05:45
1733979240,2,2024-12-12 04:54:00,REM,2024-12-12 05:54
1733980020,3,2024-12-12 05:07:00,Light,2024-12-12 06:07
1733982120,4,2024-12-12 05:42:00,Deep,2024-12-12 06:42
1733982720,3,2024-12-12 05:52:00,Light,2024-12-12 06:52
1733983500,2,2024-12-12 06:05:00,REM,2024-12-12 07:05
1733984640,4,2024-12-12 06:24:00,Deep,2024-12-12 07:24
1733984820,3,2024-12-12 06:27:00,Light,2024-12-12 07:27
1734049020,4,2024-12-13 00:17:00,Deep,2024-12-13 01:17
1734049620,3,2024-12-13 00:27:00,Light,2024-12-13 01:27
1734050640,4,2024-12-13 00:44:00,Deep,2024-12-13 01:44
1734053940,2,2024-12-13 01:39:00,REM,2024-12-13 02:39
1734055440,3,2024-12-13 02:04:00,Light,2024-12-13 03:04
1734056880,4,2024-12-13 02:28:00,Deep,2024-12-13 03:28
1734058320,2,2024-12-13 02:52:00,REM,2024-12-13 03:52
1734061380,3,2024-12-13 03:43:00,Light,2024-12-13 04:43
